;;;;
Австралия;Канберра;7 686 850;24 238 610;Австралия и Океания
Австрия;Вена;83 858;8 741 753;Европа
Азербайджан;Баку;86 600;9 705 600;Азия
Албания;Тирана;28 748;2 866 026;Европа
Алжир;Алжир;2 381 740;39 813 722;Африка
Ангола;Луанда;1 246 700;25 831 000;Африка
Андорра;Андорра-ла-Велья;468;78 014;Европа
Антигуа и Барбуда;Сент-Джонс;442;93 581;Северная Америка
Аргентина;Буэнос-Айрес;2 766 890;43 847 000;Южная Америка
Армения;Ереван;29 741;2 995 100;Азия
Афганистан;Кабул;647 500;29 822 848;Азия
Багамские Острова;Нассау;13 940;393 000;Северная Америка
Бангладеш;Дакка;144 000;160 221 000;Азия
Барбадос;Бриджтаун;430;291 495;Северная Америка
Бахрейн;Манама;701;1 397 000;Азия
Белиз;Бельмопан;22 966;377 968;Северная Америка
Белоруссия;Минск;207 595;9 498 400;Европа
Бельгия;Брюссель;30 528;11 250 585;Европа
Бенин;Порто-Ново;112 620;11 167 000;Африка
Болгария;София;110 910;7 153 784;Европа
Боливия;Сукре;1 098 580;10 985 059;Южная Америка
Босния и Герцеговина;Сараево;51 129;3 802 000;Европа
Ботсвана;Габороне;600 370;2 209 208;Африка
Бразилия;Бразилиа;8 511 965;206 081 432;Южная Америка
Бруней;Бандар-Сери-Бегаван;5 770;436 620;Азия
Буркина-Фасо;Уагадугу;274 200;19 034 397;Африка
Бурунди;Гитега;27 830;11 099 298;Африка
Бутан;Тхимпху;47 000;784 000;Азия
Вануату;Порт-Вила;12 200;289 700;Австралия и Океания
Ватикан;Ватикан;0.44;842;Европа
Великобритания;Лондон;244 820;65 341 183;Европа
Венгрия;Будапешт;93 030;9 830 485;Европа
Венесуэла;Каракас;912 050;31 028 637;Южная Америка
Восточный Тимор;Дили;14 874;1 167 242;Азия
Вьетнам;Ханой;329 560;91 713 300;Азия
Габон;Либревиль;267 667;1 811 079;Африка
Гаити;Порт-о-Пренс;27 750;10 911 819;Северная Америка
Гайана;Джорджтаун;214 970;741 962;Южная Америка
Гамбия;Банжул;11 300;2 025 527;Африка
Гана;Аккра;238 540;28 308 301;Африка
Гватемала;Гватемала;108 890;16 555 556;Северная Америка
Гвинея;Конакри;245 857;10 628 972;Африка
Гвинея-Бисау;Бисау;36 120;1 547 754;Африка
Германия;Берлин;357 021;82 175 684;Европа
Гондурас;Тегусигальпа;112 090;8 721 014;Северная Америка
Государство Палестина;Иерусалим;6 020;4 816 503;Азия
Гренада;Сент-Джорджес;340;110 566;Северная Америка
Греция;Афины;131 940;10 793 526;Европа
Грузия;Тбилиси;69 700;3 720 400;Азия
Дания;Копенгаген;43 094;5 707 251;Европа
Джибути;Джибути;22 000;890 179;Африка
Доминика;Розо;754;69 393;Северная Америка
Доминиканская Республика;Санто-Доминго;48 730;10 075 045;Северная Америка
ДР Конго;Киншаса;2 345 410;85 026 000;Африка
Египет;Каир;1 001 450;91 701 723;Африка
Замбия;Лусака;752 614;16 717 000;Африка
Зимбабве;Хараре;390 580;15 967 000;Африка
Израиль;Иерусалим;22 072;8 585 000;Азия
Индия;Нью-Дели;3 287 590;1 268 961 000;Азия
Индонезия;Джакарта;1 904 556;255 461 700;Азия
Иордания;Амман;89 400;9 813 095;Азия
Ирак;Багдад;437 072;37 883 543;Азия
Иран;Тегеран;1 648 000;80 840 713;Азия
Ирландия;Дублин;70 273;4 658 530;Европа
